user_id,game_id,playtime_2weeks,playtime_forever
76561197962641822,10,,0
76561197962641822,20,,0
76561197962641822,30,,0
76561197962641822,40,,0
76561197962641822,50,,0
76561197962641822,60,,0
76561197962641822,70,,0
76561197962641822,130,,0
76561197962641822,307950,,0
76561197962641822,291550,,1064
76561197962641822,438100,,27
76561197962641822,730,,6945
76561197962641822,945360,,83
76561197962641822,1088150,,40
76561197962641822,1604030,,1473
76561197962641822,1568590,,11
76561197962641822,1818450,,0
76561197962641822,1977530,,0
76561197988523929,10,5.0,11841
76561197988523929,80,,7
76561197988523929,240,77.0,33262
76561197988523929,300,,3
76561197988523929,320,,0
76561197988523929,340,,0
76561197988523929,220,,291
76561197988523929,322170,,136
76561197988523929,444200,30.0,30
76561197988523929,678800,,32
76561197988523929,562260,,281
76561197988523929,730,,1
76561197988523929,960090,2.0,7803
76561197988523929,578080,,16
76561197988523929,70,,25
76561197994341928,10,,4
76561197994341928,80,,0
76561197994341928,240,,28
76561197994341928,320,,0
76561197994341928,340,,22
76561197994341928,550,,1119
76561197994341928,202970,43.0,1239
76561197994341928,99900,,99
76561197994341928,355180,,156
76561197994341928,391540,,122
76561197994341928,700330,,13
76561197994341928,915320,,38
76561197994341928,730,,969
76561197994341928,1172470,,11
76561197994341928,1229490,,1686
76561197994341928,1408720,,206
76561197994341928,1407200,,73
76561197994341928,823130,,3
76561197994341928,1628620,,5
76561197994341928,578080,,25
76561197994341928,1938090,,19
76561197994341928,2281730,1.0,1730
76561197994341928,660160,,0
76561197994341928,489630,,0
76561197994341928,1180660,,1
76561197994341928,383270,,0
76561197994341928,70,,292
76561197994341928,24010,,0
76561198009716616,240,,54499
76561198009716616,300,,594
76561198009716616,320,,84
76561198009716616,340,,0
76561198009716616,4000,,42610
76561198009716616,22300,,117
76561198009716616,19980,,41
76561198009716616,17470,,255
76561198009716616,9480,,10863
76561198009716616,6000,,20
76561198009716616,21030,,463
76561198009716616,36000,,23
76561198009716616,6020,,4133
76561198009716616,550,,9544
76561198009716616,32430,,525
76561198009716616,45100,,0
76561198009716616,1250,,3971
76561198009716616,24960,,394
76561198009716616,8190,,80
76561198009716616,41000,,128
76561198009716616,564310,,40
76561198009716616,42670,,524
76561198009716616,70100,,0
76561198009716616,42700,,867
76561198009716616,8980,,416
76561198009716616,729040,,0
76561198009716616,21130,,156
76561198009716616,21100,,217
76561198009716616,42910,,86
76561198009716616,63200,,297
76561198009716616,105600,,768
76561198009716616,20920,,308
76561198009716616,22450,,878
76561198009716616,91700,,167
76561198009716616,46540,,15
76561198009716616,43190,,458
76561198009716616,24240,,290
76561198009716616,9200,,131
76561198009716616,22100,,0
76561198009716616,48700,,261
76561198009716616,48720,,0
76561198009716616,207610,,995
76561198009716616,200710,,98
76561198009716616,204100,,249
76561198009716616,201790,,262
76561198009716616,730,,36097
76561198009716616,204120,,0
76561198009716616,204300,,17
76561198009716616,204360,,34
76561198009716616,49520,,861
76561198009716616,209100,,139
76561198009716616,211400,,210
76561198009716616,4920,,90
76561198009716616,220240,,3158
76561198009716616,220440,,554
76561198009716616,212480,,1547
76561198009716616,200210,,0
76561198009716616,207230,,49
76561198009716616,230410,,4461
76561198009716616,238960,,0
76561198009716616,223710,,189
76561198009716616,242720,,115
76561198009716616,224260,,242
76561198009716616,253710,,0
76561198009716616,203160,,1272
76561198009716616,221040,,2174
76561198009716616,8870,,1240
76561198009716616,246900,,323
76561198009716616,255520,,0
76561198009716616,265210,,0
76561198009716616,234080,,383
76561198009716616,222940,,163
76561198009716616,235600,,547
76561198009716616,206420,,3632
76561198009716616,207140,,529
76561198009716616,205100,,1510
76561198009716616,209160,,444
76561198009716616,238430,,551
76561198009716616,39210,,3881
76561198009716616,40970,,468
76561198009716616,263300,,354
76561198009716616,211820,,1775
76561198009716616,273110,,0
76561198009716616,251570,,744
76561198009716616,225840,,434
76561198009716616,239160,,895
76561198009716616,280160,,353
76561198009716616,287120,,0
76561198009716616,297020,,0
76561198009716616,45760,,197
76561198009716616,304050,,13
76561198009716616,304930,,299
76561198009716616,291480,,894
76561198009716616,312670,,43
76561198009716616,272510,,1308
76561198009716616,241930,,2276
76561198009716616,280790,,156
76561198009716616,333930,,442
76561198009716616,322330,,837
76561198009716616,346900,,1
76561198009716616,307780,,1231
76561198009716616,39120,,5
76561198009716616,356670,,11
76561198009716616,232090,,354
76561198009716616,386360,,1089
76561198009716616,291550,,5677
76561198009716616,389730,,1620
76561198009716616,397900,,99
76561198009716616,311210,,4081
76561198009716616,349040,,1998
76561198009716616,239140,,1555
76561198009716616,433350,,62
76561198009716616,444090,,1216
76561198009716616,383150,,703
76561198009716616,403640,,2330
76561198009716616,442080,,236
76561198009716616,319630,,182
76561198009716616,324810,,0
76561198009716616,311730,,16
76561198009716616,489830,,126
76561198009716616,550650,,110
76561198009716616,555570,,179
76561198009716616,582010,,2034
76561198009716616,594650,,597
76561198009716616,601510,,1890
76561198009716616,306130,,15353
76561198009716616,219640,,252
76561198009716616,614570,,970
76561198009716616,578080,,739
76561198009716616,648800,,2027
76561198009716616,218620,,478
76561198009716616,215280,,15
76561198009716616,436180,,25
76561198009716616,739630,,2563
76561198009716616,744900,,239
76561198009716616,504370,,3395
76561198009716616,755790,,0
76561198009716616,760160,,1192
76561198009716616,771060,,2996
76561198009716616,813820,,0
76561198009716616,815370,,656
76561198009716616,433850,,110
76561198009716616,439700,,0
76561198009716616,440900,,11082
76561198009716616,868270,,0
76561198009716616,872200,,0
76561198009716616,880940,,7480
76561198009716616,356190,,3417
76561198009716616,892970,,1979
76561198009716616,714010,,90
76561198009716616,678960,,394
76561198009716616,633230,,342
76561198009716616,905370,,5
76561198009716616,914620,,425
76561198009716616,920210,,1729
76561198009716616,304390,,2073
76561198009716616,976310,,20998
76561198009716616,489520,,0
76561198009716616,1008080,,7
76561198009716616,1049590,,359
76561198009716616,1056640,,242
76561198009716616,1063730,,4087
76561198009716616,761890,,10012
76561198009716616,1091500,,9675
76561198009716616,617290,,7286
76561198009716616,1172470,,1394
76561198009716616,707010,,0
76561198009716616,1222670,,1091
76561198009716616,1284130,,29
76561198009716616,1286830,,153
76561198009716616,1301720,,155
76561198009716616,435790,,0
76561198009716616,1326470,,2380
76561198009716616,1343370,,1
76561198009716616,1343400,,0
76561198009716616,1139900,,239
76561198009716616,1449850,,1043
76561198009716616,1325200,,3499
76561198009716616,1490890,,763
76561198009716616,1531430,,497
76561198009716616,582660,,0
76561198009716616,1590320,,0
76561198009716616,1604030,,995
