user1,user2
76561198166465514,76561198178298902
76561198166465514,76561198178338321
76561198166465514,76561198185868331
76561198166465514,76561198191204003
76561198166465514,76561198192247714
76561198166465514,76561198197093031
76561198166465514,76561198199259427
76561198166465514,76561198199943731
76561198166465514,76561198201347702
76561198166465514,76561198203745853
76561198166465514,76561198216442763
76561198166465514,76561198247344644
76561198166465514,76561198247638894
76561198166465514,76561198259316749
76561198166465514,76561198259762025
76561198166465514,76561198309696662
76561198166465514,76561198338712568
76561198166465514,76561198344234849
76561198166465514,76561198360549441
76561198166465514,76561198396481813
76561198166465514,76561198411883647
76561198166465514,76561198807594314
76561198166465514,76561198821930592
76561198166465514,76561198854365558
76561198166465514,76561198867159086
76561198166465514,76561198976664550
76561198166465514,76561199045557804
76561198166465514,76561199047094152
76561198166465514,76561199083628362
76561198166465514,76561199477195147
76561198166465514,76561199498351045
76561199498351045,76561199500648896
76561199500648896,76561199544609983
76561199508416590,76561199512253936
76561199508416590,76561199533191423
76561199508416590,76561199544609983
76561199533191423,76561199552467288
76561199552467288,76561199556713244
76561199552467288,76561199560094557
76561199552467288,76561199562405045
76561199552467288,76561199569770112
76561199552467288,76561199577230703
76561199577230703,76561199587774002
76561199575611408,76561199577230703
76561199573952353,76561199575611408
76561199572648026,76561199573952353
76561199571286332,76561199572124297
76561199571286332,76561199572648026
76561199571286332,76561199579974940
76561199568888487,76561199571286332
76561199443431446,76561199444735775
76561199443431446,76561199504531139
76561199443431446,76561199508772076
76561199443431446,76561199512237685
76561199443431446,76561199545839697
76561199443431446,76561199557628231
76561199443431446,76561199568888487
76561199443431446,76561199572648026
76561199443431446,76561199576142876
76561199443431446,76561199579974940
76561199576142876,76561199576197208
76561199576197208,76561199576350302
76561199576197208,76561199583933848
76561198994439302,76561198996463131
76561198994439302,76561199003595906
76561198994439302,76561199004033730
76561198994439302,76561199033528011
76561198994439302,76561199046289444
76561198994439302,76561199049358603
76561198994439302,76561199049568952
76561198994439302,76561199054297789
76561198994439302,76561199056813408
76561198994439302,76561199064220915
