user_id,game_id,playtime_2weeks,playtime_forever
76561198138555232,236390,263,66976
76561198138555232,271590,2672,3446
76561198138555232,291480,,29
76561198138555232,227940,,333
76561198138555232,730,240,8387
76561198138555232,332070,,3771
76561198138555232,332950,,0
76561198138555232,346110,,11259
76561198138555232,407530,,52
76561198138555232,457330,,33
76561198138555232,635260,,1465
76561198138555232,304930,,119
76561198138555232,700330,328,1329
76561198138555232,738060,,29
76561198138555232,747610,,28
76561198138555232,755790,,3974
76561198138555232,871720,,185
76561198138555232,714010,,7
76561198138555232,1092720,,0
76561198138555232,1096710,,49
76561198138555232,1085660,,18
76561198138555232,1172470,,456
76561198138555232,1180380,,7
76561198138555232,1407200,,102
76561198138555232,578080,,166
76561198138555232,1938090,,7
76561198138555232,2232840,,53
76561198138555232,2250040,,23
76561198138555232,43160,,0
76561198138555232,489630,,0
76561198138555232,70,,0
